,BIOMASS,CCGT,COAL,NPSHYD,NUCLEAR,OCGT,OIL,OTHER,PS,WIND,INT
0,2788,5869,353,373,3679,4,0,234,-322,13262,2645
1,2357,9517,447,397,3527,4,0,261,-16,9471,3488
2,2861,11972,839,523,3493,22,0,310,-139,9797,763
3,3023,18943,1412,587,3052,147,0,515,143,1270,4071
4,2783,18337,1369,558,3055,24,0,459,27,2153,2700
5,1708,4041,525,443,3045,2,0,318,-162,13605,3161
6,1505,4542,670,473,3117,0,0,323,-297,12640,3019
7,2352,11872,1083,482,3259,27,0,452,-73,8453,2190
8,2949,15483,1188,504,3393,4,0,376,173,7600,-259
9,2801,9916,1169,417,3487,4,0,392,-180,12033,545
10,2583,4287,573,423,3524,1,0,332,-225,15149,2038
11,2486,5968,794,513,3696,1,0,345,-65,12992,3390
12,2045,10646,730,582,3978,0,0,339,-137,7751,4602
13,2494,16344,461,645,4078,0,0,308,63,2591,4461
14,2727,14806,802,501,4094,0,0,292,-157,7377,2823
15,2802,15898,915,429,4191,45,0,407,-20,6670,2534
16,2846,19204,888,400,4431,106,0,536,19,4008,2784
17,2898,23099,932,473,4596,254,0,692,-37,4452,-1450
18,2752,23680,956,454,4779,218,0,593,157,1931,1138
19,1855,21615,959,414,4780,45,0,438,-79,1496,2900
20,2850,14879,938,280,4768,2,0,337,-291,6272,3926
21,2894,14211,898,248,4768,21,0,477,-252,10613,1511
22,2869,17226,869,227,4734,8,0,323,8,7650,1746
23,2921,20669,899,248,4734,170,0,520,62,5594,-160
24,2969,13013,941,289,4735,0,0,323,-100,15014,-2890
25,2821,11776,954,356,4722,0,0,352,-53,11584,184
26,1466,3349,425,331,4711,1,0,261,-230,14318,4190
27,1550,5494,576,384,4712,1,0,280,-165,12004,4392
28,2064,13362,692,412,4714,24,0,404,-80,7730,3496
29,2652,15529,680,399,4690,27,0,473,-19,7195,1452
30,2946,15360,599,448,4688,0,0,399,158,7834,1160
31,2972,17538,610,514,4779,2,0,419,111,8675,-1417
32,2761,12936,322,382,4724,1,0,237,-173,11864,-642
33,1703,4834,142,390,4668,1,0,230,-203,14643,1627
34,2000,4092,0,508,4668,0,0,266,-218,15379,404
35,2895,8341,188,593,4667,0,0,288,4,13955,-85
36,2450,8858,185,594,4633,5,0,307,121,12861,1496
37,2534,3435,0,597,4693,1,0,355,-95,16480,2268
38,2026,3306,0,666,4933,5,0,380,-77,15702,1761
39,585,3573,0,632,5125,15,0,397,59,14142,2865
40,689,2928,27,696,5253,22,0,432,-118,14195,808
41,703,2471,144,684,5266,0,0,393,-299,14219,138
42,830,2707,139,737,5266,2,0,422,-22,11472,1935
43,1964,6003,81,826,5265,10,0,454,-37,7471,2439
44,2125,2675,0,684,5243,2,0,350,-229,14141,1134
45,737,2487,14,632,5243,0,0,389,-301,15366,1252
46,1090,3211,108,873,5225,21,0,428,322,13216,2652
