,INTELEC,INTEW,INTFR,INTGRNL,INTIFA2,INTIRL,INTNED,INTNEM,INTNSL,INTVKL
0,35,-158,825,0,948,-113,-33,446,695,0
1,50,-128,984,0,882,-321,577,729,715,0
2,789,-320,607,0,-2,-317,-132,244,-106,0
3,951,-240,960,0,-2,-206,599,772,1237,0
4,705,-92,598,0,-2,-158,134,450,1065,0
5,725,14,619,0,-2,-31,364,623,849,0
6,734,-157,520,0,-3,-28,627,627,699,0
7,737,-17,688,0,-4,-3,-163,359,593,0
8,534,-331,625,0,-4,-393,-500,-33,-157,0
9,-78,-14,140,0,-4,-168,-308,-267,1244,0
10,414,-284,404,0,-4,-385,439,308,1146,0
11,815,-522,1044,0,-4,-447,669,689,1146,0
12,970,-446,1313,0,-4,-451,909,917,1394,0
13,867,-418,1402,0,-4,-398,784,900,1328,0
14,569,-213,996,0,-3,-302,229,336,1211,0
15,557,-507,855,0,-2,-449,552,602,926,0
16,479,-110,588,0,-2,-265,650,429,1015,0
17,-155,135,-357,0,-2,-67,-606,-443,45,0
18,351,-261,989,0,-3,-403,157,377,-69,0
19,611,-381,1390,0,-4,-420,532,668,504,0
20,739,-326,1349,0,-4,-395,718,755,1090,0
21,373,-88,707,0,-4,-154,183,303,191,0
22,510,-353,940,0,-4,-378,323,407,301,0
23,-93,273,149,0,-4,252,-89,-234,-414,0
24,-565,16,-885,0,-4,-69,-128,-476,-779,0
25,-36,22,23,0,-4,81,-80,-108,286,0
26,866,9,1370,0,-4,49,289,698,913,0
27,904,-114,1412,0,-4,-258,737,819,896,0
28,879,-287,1403,0,-4,-335,440,719,683,-2
29,539,-429,1593,0,-4,-390,-28,411,-212,-28
30,353,-240,925,0,-4,-353,143,277,59,0
31,151,-193,663,0,-4,-323,-484,-307,-920,0
32,-21,-217,168,0,-4,-366,-226,-228,257,-5
33,-36,-25,359,0,-4,-160,147,111,1157,78
34,-394,70,-526,0,-4,-26,433,251,600,0
35,-377,-431,-769,0,-4,-394,360,200,1359,-29
36,43,-250,262,0,-4,-259,46,30,1216,412
37,180,117,402,0,-4,-31,92,187,797,528
38,417,120,754,0,-4,61,-205,566,420,-368
39,754,62,955,0,-4,-87,135,851,201,-2
40,712,-21,800,0,-4,214,-364,475,-1004,0
41,536,-256,824,0,-4,8,-93,504,-1381,0
42,677,-105,1196,0,-4,-152,370,567,-614,0
43,706,-223,941,0,-5,-169,181,632,376,0
44,383,148,526,0,-4,-46,-314,179,262,0
45,525,41,624,0,-4,307,18,384,-643,0
46,788,-321,972,0,-4,-256,444,810,-74,293
47,977,-14,1501,0,-4,-14,441,766,906,698
48,951,-31,1239,0,-5,-193,625,735,593,595
49,854,-286,1507,0,-4,-261,510,801,-80,227
50,979,-428,1619,0,-4,-403,206,680,336,174
51,995,-281,1864,0,-4,-302,449,918,1151,690
52,863,-348,1615,0,-4,-408,-4,762,1161,177
53,900,-164,1609,0,-4,-347,330,769,469,240
54,974,-338,1573,0,-4,-388,572,885,1164,424
55,981,-478,1650,0,-4,-445,907,951,1048,610
56,112,-134,24,0,-4,-372,607,138,333,143
57,-546,-66,-1549,0,-4,-281,355,-231,-295,-573
58,-432,-139,-1148,0,-4,-287,275,-295,-93,-460
59,-435,-423,-408,0,-4,-364,40,-166,108,-378
60,-74,-506,338,0,-4,-443,234,-29,403,-59
61,399,-513,714,0,-4,-431,582,70,1370,760
62,542,-377,1509,0,-4,-428,807,477,1399,764
63,-97,-343,-149,0,-4,-396,708,23,324,347
64,-352,-301,-415,0,-4,-272,469,-345,13,-28
65,640,-487,1283,0,-4,-445,168,128,424,263
66,515,-466,1431,0,-4,-441,210,50,-459,146
67,-209,-155,-764,0,-4,-69,693,-583,580,904
68,-208,144,-344,0,-4,154,708,-387,916,740
69,711,79,802,0,-4,238,791,683,850,844
70,899,-17,1581,0,-3,-86,340,741,935,938
71,911,-21,1342,0,-2,19,461,642,1181,1032
72,933,-304,1537,0,-2,-275,252,827,966,634
73,744,91,1694,0,-3,75,-27,236,654,225
74,665,-116,1140,0,-4,-123,31,321,927,779
75,479,68,997,0,-4,42,-348,214,1381,1167
76,505,25,1137,0,-4,23,20,469,729,701
77,805,-495,1557,0,-4,-441,234,648,1373,544
78,538,-372,1125,0,-4,-387,94,330,1264,932
79,17,-73,-225,0,-4,87,-136,-287,1398,1145
80,526,-311,673,0,-4,-246,114,317,1388,1257
81,365,-41,675,0,-4,-177,489,368,1144,1232
82,527,-514,606,0,-4,-439,437,329,1145,959
83,501,137,465,0,-4,-104,585,434,141,88
84,637,24,632,0,-4,145,613,532,826,0
85,863,-338,1154,0,-4,-357,600,760,813,0
86,998,-466,1992,0,-4,-440,824,921,1006,0
87,998,-178,1571,0,-4,-120,-4,807,-489,-25
88,981,-479,1500,0,-4,-404,286,894,601,839
89,970,-476,1957,0,-4,-448,800,927,1397,1128
90,967,-190,1937,0,-4,-265,715,923,1356,848
91,117,-101,303,0,-4,-160,-86,-100,760,22
92,652,-486,1319,0,-4,-418,830,682,771,716
93,982,-247,1843,0,-4,-302,702,822,1212,409
94,997,-445,1711,0,-4,-415,292,866,834,123
95,995,-355,1987,0,-4,-401,785,983,1395,1123
96,791,-230,1750,0,-4,-244,33,805,1315,592
97,916,-427,1545,0,-4,-339,844,798,1334,727
98,776,-286,977,0,-4,-222,-87,305,968,322
99,471,-124,766,0,48,-78,366,189,1190,672
100,735,25,1150,0,36,60,444,473,1249,1042
101,986,-253,1858,0,984,-369,514,716,1113,824
102,972,-249,1526,0,936,-409,1001,906,1398,1166
103,988,-357,1995,0,984,-353,953,976,1400,861
104,916,1,1900,0,924,-35,775,889,1390,691
105,513,-267,1414,0,603,-260,442,427,589,220
106,367,-159,1378,0,563,-187,20,-50,615,-398
107,182,-59,557,0,185,-81,-11,-53,1385,204
108,638,-232,1211,0,622,-200,580,605,844,1334
109,920,-300,1945,0,231,-200,552,801,1399,962
